run,index,valence_1,valence_2,valence_3,valence_4,valence_5,valence_6,valence_7,valence_8,arousal_1,arousal_2,arousal_3,arousal_4,arousal_5,arousal_6,arousal_7,arousal_8
S01E02R01,S01E02R01_clip0169,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0170,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0171,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0172,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0173,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0174,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0175,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0176,3.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0177,1.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0185,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0186,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0187,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0188,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0189,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0190,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0191,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0192,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0193,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0194,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0195,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0196,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0197,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0198,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0199,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0200,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0201,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R01,S01E02R01_clip0202,5.0,1.0,,,,,,,1.0,2.0,,,,,,
S01E02R01,S01E02R01_clip0203,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0204,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0205,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0206,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0207,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0208,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0209,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0210,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0211,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0212,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0213,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0214,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0215,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0216,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0217,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0218,5.0,1.0,,,,,,,1.0,6.0,,,,,,
S01E02R01,S01E02R01_clip0219,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0220,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0221,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0222,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0223,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0224,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0225,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0226,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0227,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0228,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0229,4.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0230,4.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0231,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0232,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0233,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0234,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0235,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0236,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0237,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0238,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0239,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0240,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0241,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0242,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0243,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0244,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0245,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0246,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0247,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0248,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0249,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0250,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0251,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0252,5.0,1.0,,,,,,,1.0,5.0,,,,,,
